stop_name,stop_id,stop_lat,stop_lon
10th Cross Lingadhiranahalli,4up,13.00951,77.47431
10th Cross Magadi Road,563,12.97556,77.55562
10th Cross Magadi Road,5dy,12.97574,77.55706
10th Stone NICE Road,265,12.87242,77.49865
10th Stone NICE Road,4yo,12.87273,77.4986
11th Block Anjanapura,2gy,12.85224,77.57265
11th Block Anjanapura,xu,12.85225,77.57235
12th Block Nagarabhavi,1wj,12.96076,77.51351
12th Block Nagarabhavi,5y3,12.96018,77.51398
12th Main 7th Cross BTM Layout,4ah,12.91385,77.61022
13th Main 7th Cross BTM Layout,4yy,12.91405,77.61007
14th Main HSR Layout,1k7,12.91644,77.63458
14th Main HSR Layout,4cs,12.91743,77.63835
14th Main HSR Layout,5v4,12.91746,77.63812
14th Main HSR Layout,ha,12.91619,77.63521
16th Main Hopcoms BTM Layout,2zf,12.91971,77.61036
17th Main Hopcoms BTM Layout,8g,12.91953,77.61028
18th Main Jayanagara,2qj,12.92343,77.58964
18th Main Jayanagara,3w2,12.92328,77.58898
19th Main 13th Cross HSR Layout,55i,12.91582,77.65175
19th Main 13th Cross HSR Layout,5ic,12.91593,77.65176
1st Block Rajajinagara,3gq,13.00515,77.54887
1st Block Rajajinagara,476,13.0047,77.54909
1st Block Vidyaranyapura,3kk,13.07021,77.5555
1st Block Vidyaranyapura,3r4,13.07023,77.55539
1st Block Vishweshwaraiah Layout,1iw,12.93752,77.4789
1st Block Vishweshwaraiah Layout,3qs,12.93747,77.47876
1st Cross Magadi Road,4r,12.97569,77.5628
1st Cross Magadi Road,km,12.97569,77.563
1st Main Kodichikkanahalli,1t4,12.89854,77.61543
1st Main Kodichikkanahalli,1u,12.89847,77.6155
1st Stage 3rd Block Nagarabhavi,5dp,12.9533,77.52158
1st Stage 3rd Block Nagarabhavi (Nayandahalli),2d4,12.95302,77.52026
1st Stage 3rd Block Nagarabhavi (Summanahalli),2d3,12.95286,77.52017
2nd Stage 11th Block Nagarabhavi,3ty,12.97758,77.51336
2nd Stage 11th Block Nagarabhavi,4gf,12.97754,77.51333
2nd Stage 9th Block Nagarabhavi,1g6,12.96864,77.51027
2nd Stage H B R Layout (1st Main),1yu,13.02881,77.61553
2nd Stage HBR Layout (2nd Cross),5zg,13.03165,77.61209
2nd Stage Kanteeravanagara,36k,13.01505,77.53901
2nd stage Kuvempunagara,4h1,13.07313,77.54132
2nd stage Kuvempunagara,62b,13.07306,77.54142
3rd Block Jayanagara,29b,12.93349,77.58396
3rd Block Jayanagara,4zn,12.9318,77.58392
3rd Block Vidyaranyapura,2la,13.07237,77.55647
3rd Block Vidyaranyapura,4mx,13.07223,77.55637
3rd Main Road Annapoorneshwarinagara,2cc,12.97816,77.50434
3rd Main Road Annapoorneshwarinagara,5s8,12.97811,77.50446
3rd Stage Basaveshwaranagara,20t,12.98898,77.54254
3rd Stage Basaveshwaranagara,4q,12.98912,77.54249
4th Block HBR Layout,16d,13.03437,77.63268
4th Block HBR Layout,2v9,13.03435,77.63264
4th Phase Yalahanka New Town Iyengar Bakery,1vu,13.1042,77.56999
4th Phase Yalahanka New Town Iyengar Bakery,33i,13.10436,77.57006
4th Stone NICE Road,3pw,13.009,77.47509
4th T Block Jayanagara,2ji,12.92307,77.59353
4th T Block Jayanagara,3y4,12.92308,77.59345
5th Block HBR Layout,3uk,13.03582,77.6315
5th Block Jayanagara,33k,12.91722,77.58356
5th Block Jayanagara,5ti,12.91732,77.58368
5th Cross Magadi Road,1un,12.97578,77.56071
5th Cross Magadi Road,4po,12.97567,77.56081
5th Cross Sriramapura,me,12.99214,77.56647
5th Phase Yelahanka New Town,1zh,13.10575,77.57251
5th Stone NICE Road,5gk,12.97117,77.47148
6th Block Rajajinagara,1rw,12.97944,77.55359
6th Block Rajajinagara,gm,12.97953,77.55377
7th Cross Srirampura,fn,12.99051,77.56787
7th Cross Wilson Garden,1th,12.94699,77.59436
7th Cross Wilson Garden,5p6,12.94684,77.59465
7th Main Srirampura,4z9,12.99057,77.56655
80 feet Road Kalyananagara,177,13.02546,77.64042
80 feet Road Kalyananagara,1cb,13.02564,77.6406
80ft Road Banasawadi,ka,13.01538,77.6429
80ft Road Banasawadi,xg,13.01511,77.64267
80ft Road HRBR Layout,1j3,13.02095,77.64317
80ft Road HRBR Layout,3ta,13.02035,77.64328
80ft Road Junction Kariyanapalya,128,12.8921,77.51449
80ft Road MS Ramaiah College,14a,13.02752,77.57571
8th Main 3rd Cross  Junction,3z9,13.02248,77.63714
8th Main 3rd Cross  Junction,mw,13.02254,77.63723
8th Main Kamalanagara,23j,12.99178,77.53856
8th Main Kamalanagara,3b3,12.99163,77.53839
8th Mile,7a,13.04571,77.50753
8th Mile Dasarahalli,18a,13.04541,77.50795
8th Mile Dasarahalli,1t3,13.04547,77.50553
8th Mile Dasarahalli,2r4,13.0451,77.50748
8th Mile Dasarahalli,sz,13.04622,77.50755
8th Mile Dasarahalli,z2,13.04544,77.50547
9th Block Jayanagara,3nk,12.91964,77.5928
9th Block Jayanagara (22nd Main),4mn,12.91969,77.59144
9th Block Jayanagara (40th Cross),5jo,12.91969,77.59247
9th Stone NICE Road,2ax,12.88789,77.48532
9th block Jayanagara,54t,12.91957,77.59284
A G Export Garments Nelamangala,3iy,13.12046,77.39237
A G Export Garments Nelamangala,3q,13.12048,77.39242
A P J Abdul Kalam Statue,125,12.97977,77.65418
A P J Abdul Kalam Statue,3ho,12.97972,77.65404
AECS Dental College,25b,12.86534,77.59831
AECS Dental College,2bu,12.86541,77.59832
AECS Layout Cross,1d8,12.96495,77.71832
AECS Layout Cross,5wx,12.96511,77.71827
AECS Layout Singasandra,1t9,12.88306,77.64991
AECS Layout Singasandra,1xr,12.88286,77.65018
AGS Layout,1v8,12.95173,77.47919
AGS Layout,5ts,12.95163,77.47921
AGS Layout Arehalli,1b1,12.91252,77.53704
AGS Layout Arehalli,1m1,12.91244,77.53703
AGS Layout Cross,3ii,12.91353,77.54088
AGS Layout Cross,5rk,12.91347,77.54088
AIR FORCE Quarters,2mc,13.05899,77.52141
AIR FORCE Quarters,nl,13.05895,77.52139
AL Ameen Residential School,285,13.0696,77.80836
AL Ameen Residential School,5s2,13.06983,77.80832
AL-Agro Factory,33f,12.98777,77.88168
AL-Agro Factory,xp,12.98697,77.88059
AMC College,2pv,12.83007,77.5878
AMC College,wh,12.82933,77.58759
APCO Factory,1a3,12.76195,77.47044
APCO Factory,1b6,12.76209,77.47036
APMC Yard,1ok,13.10488,77.44388
APMC Yard,417,13.10494,77.44396
APS College,1kn,12.78276,77.49962
APS College,3x5,12.78264,77.49949
ASC Centre,1gp,12.96224,77.61901
ASC Centre,2il,12.96245,77.61906
Aane Kempegowdana Doddy,w,12.86158,77.33503
Aane Kempegowdana Doddy,ym,12.86152,77.33503
Abbaiah Circle Sarjapura,61k,12.85976,77.79411
Abbaiah Circle Sarjapura,t3,12.85974,77.79402
Abbaiah Layout,h1,12.97933,77.68082
Abbaiah Layout,tp,12.97928,77.68081
Abbanakuppe,5nz,12.77413,77.40941
Abbanakuppe,9c,12.77419,77.4095
Abbanakuppe Colony,1e7,12.77123,77.41632
Abbanakuppe Colony,1rg,12.77126,77.41627
Abbanakuppe KEB,1nx,12.78759,77.42848
Abbanakuppe KEB,28w,12.78762,77.42868
Abbigere,4jh,13.07696,77.52587
Abbigere,5bk,13.07692,77.52589
Abbigere Cross,5l7,13.07069,77.52976
Abbigere Cross,i3,13.07068,77.52974
Abbigere Dinne,1kj,13.07099,77.52801
Abbigere Dinne,5h5,13.07106,77.52803
Abbigere Gate,1vy,13.07248,77.52353
Abbigere Gate,7,13.07243,77.52355
Acharya College,2cp,13.00238,77.48823
Acharya College,2tz,13.00234,77.48822
Acharya Institute of Technology,383,13.08351,77.48416
Acharya Institute of Technology,5sg,13.08353,77.48411
Achyuthanagara Gate,3np,13.08418,77.48655
Achyuthanagara Gate,3sj,13.08423,77.48656
Active Public School Hommadevanahalli,3ke,12.8402,77.59467
Adakamaranahalli (Magadi Road),2ak,12.94713,77.31054
Adakamaranahalli Cross (Magadi Road),5o2,12.95438,77.30922
Adakamaranahalli Cross (Magadi Road),5tf,12.95436,77.30902
Adakimaranahalli,1sg,13.07065,77.4449
Adakimaranahalli,2tr,13.06989,77.44532
Adakimaranahalli,3k7,13.07028,77.44482
Adarshanagara,20j,13.07621,77.42378
Adarshanagara,4xn,13.07619,77.42374
Adarshanagara Water Tank,5or,13.07467,77.42052
Adde Vishwanathapura,3wn,13.18672,77.55112
Adde Vishwanathapura,6v,13.18669,77.5511
Addiganahalli,1ua,13.17297,77.56943
Addiganahalli,2qs,13.17295,77.56959
Addiganahalli Extension,7w,13.1728,77.57126
Addiganahalli Extension 1,52,13.17288,77.57123
Adigara Kallahalli,1ej,12.8252,77.80356
Adigara Kallahalli,59e,12.82534,77.8033
Adigondanahalli,1jf,12.81456,77.75126
Adigondanahalli,5hc,12.81457,77.75116
Adrsha Savana,142,13.20867,77.6037
Adrsha Savana,1ne,13.20854,77.60383
Adugodi,2jp,12.94381,77.6077
Adugodi,2ts,12.94387,77.6077
Adugodi,36y,12.94397,77.60748
Adugodi,5d1,12.94384,77.60761
Adugodi Police Station,1gg,12.93985,77.6095
Adugodi Police Station,1zj,12.93897,77.60976
Aduru,2ad,13.05542,77.70589
Aduru,3ar,12.73301,77.6544
Aduru,57o,13.05552,77.70576
Aduru,ry,12.73303,77.65433
Aerospace Bagalur,4v8,13.17296,77.73077
Aerospace Bagalur,co,13.17263,77.73087
Agalakote,262,13.21292,77.73612
Agalakote,5m,13.21287,77.73615
Agara,30p,12.84288,77.48626
Agara,49u,12.84479,77.48713
Agara,4vb,12.84477,77.48709
Agara,5ym,12.8429,77.4863
Agara Cross,3et,12.84915,77.52219
Agara Cross,4su,12.84899,77.52207
Agara Junction,1e4,12.92417,77.65075
Agara Junction,1rb,12.92464,77.64937
Agara Junction,3,12.92433,77.65073
Agara Junction,3en,12.92452,77.65028
Agara Junction,3p8,12.9239,77.65172
Agara Junction,gg,12.92468,77.64998
Agrahara Dasarahalli,5mx,12.97874,77.54121
Agrahara Dasarahalli,66b,12.97853,77.54293
Agrahara Layout,1om,13.09837,77.62683
Agrahara Layout,3lo,13.09838,77.62671
Agraharapalya Gate,5a3,13.13075,77.45348
Agraharapalya Gate,5xa,13.1306,77.45348
Ainahalli,3m1,13.25852,77.38764
Air Lines Dhaba Gate,1ja,13.22275,77.74088
Air Lines Dhaba Gate,63c,13.22266,77.74096
Airport Trumpet,1bg,13.19908,77.65792
Airport Trumpet,4y4,13.19905,77.6582
Ajjagondanahalli,3bw,12.95709,77.7684
Ajjagondanahalli,5as,12.95708,77.7684
Ajjanahalli,5xl,12.9167,77.3865
Ajjanahalli,mj,12.91666,77.38648
Ajmeer Apartment Neeladri Road,3ef,12.84181,77.64675
Ajmeer Apartment Neeladri Road,5qb,12.84185,77.64673
Akkayammana Betta,185,13.16162,77.64223
Akkayammana Betta Uttanahalli Cross,1v1,13.16165,77.64227
Akkipete Devanahalli,5ek,13.25104,77.70135
Akkithimmanahalli,42y,12.96216,77.59674
Akkithimmanahalli 1,52t,12.96221,77.59649
Akshayanagara,20z,13.02072,77.68339
Akshayanagara,5h1,13.02068,77.68354
Akshayanagara New Town,2t5,12.87657,77.61166
Akshayanagara New Town,3hi,12.87657,77.61101
Aladamara Chikkanahalli Cross,3kg,12.72796,77.64801
Aladamara Chikkanahalli Cross,48d,12.72809,77.64804
Aladamara Laggere,131,13.01324,77.52099
Aladamara Laggere,9b,13.0133,77.521
Aladamara Papareddypalya,3zc,12.97505,77.50941
Aladamara Papareddypalya,44r,12.97495,77.50948
Alahalli,4nr,13.27755,77.52143
Alahalli,4t7,13.2775,77.52152
Alambadi,2bt,12.89273,77.88659
Alambadi,5ko,12.8927,77.88656
Alanayakanahalli Gate,17r,13.18089,77.32413
Alanayakanahalli Gate,431,13.18069,77.32407
Ali Bommasandra,380,12.82026,77.73644
Ali Bommasandra,h4,12.82033,77.73644
Alisda,31c,13.03392,77.54098
Alisda,3gl,13.03404,77.54112
Aliyuru,5ud,13.263,77.76564
Allalasandra,1x8,13.08818,77.58868
Allalasandra Gate,1zq,13.08664,77.59375
Allalasandra Gate,2lm,13.08541,77.59421
Allalasandra Gate,2yr,13.08686,77.59386
Allalasandra Gate,r4,13.08737,77.59557
Allammanapalya,4ep,12.93554,77.36618
Alpha College Chikka Gubbi,1lj,13.07702,77.662
Alpha College Chikka Gubbi,520,13.077,77.66202
Aluru,1q4,13.08495,77.46551
Aluru,u6,13.0849,77.46561
Aluru BDA 2nd Stage,1q6,13.09138,77.44998
Aluru Cross,1v6,13.0824,77.47479
Aluru Cross,3oe,13.08236,77.47477
Alurupalya,19m,13.09717,77.47063
Alurupalya,2ly,13.09713,77.47054
Amarajyothi Badavane,5al,13.05525,77.62932
Amarajyothi Badavane,dm,13.05526,77.62929
Amba Bhavani Nagara,2w6,13.09721,77.54594
Amba Bhavani Nagara,3rd,13.09712,77.54599
Ambalagere,61b,13.24327,77.38658
Ambedkar Institute of Technology,2v6,12.96319,77.50502
Ambedkar Institute of Technology,a1,12.96338,77.50515
Ambedkar Medical College Shampura,3rq,13.02327,77.6126
Ambedkar Nagara,1m3,12.89929,77.71273
Ambedkar Nagara,3v6,12.89914,77.71286
Ambika School,4ps,13.15775,77.33719
Ambika School,qu,13.15775,77.33712
Amma Ashrama Cross,1sb,12.94936,77.48882
Amma Ashrama Cross,4hb,12.94958,77.48867
Amogha Layout,44z,13.07509,77.71806
Amogha Layout,5wo,13.07507,77.71818
Amritha Ayurvedic Hospital,15f,13.12485,77.54721
Amritha Ayurvedic Hospital,398,13.12471,77.54725
Amruth Sweets,4cf,12.90926,77.64147
Amruth Sweets,4w2,12.90921,77.64153
Amrutha Engineering College,10t,12.89689,77.67517
Amrutha Engineering College,3c,12.8968,77.6752
Amrutha Engineering College,3m0,12.89566,77.67471
Amruthahalli,20q,13.06576,77.60081
Amruthahalli,5o9,13.06574,77.60076
Amruthanagara,40b,12.83939,77.54993
Amruthanagara,4k8,12.83943,77.54995
Anagalipura,575,13.06838,77.68241
Anagalipura Gate,45g,13.07306,77.67885
Anagalipura Gate,52n,13.07303,77.67888
Ananda Ashrama (BGT Rd),1s1,12.9275,77.60062
Ananda Ashrama (BGT Rd),5hj,12.92644,77.60037
Ananda Rao Circle,1gj,12.98115,77.57466
Ananda Rao Circle,33v,12.98074,77.57503
Ananda Rao Circle,3y0,12.98117,77.57694
Anandanagara,41n,12.98386,77.24218
Anandanagara,4y5,12.9838,77.24209
Anandapura,179,13.02423,77.69285
Anandapura,1dj,13.0241,77.6927
Ananthapura,1wc,13.11475,77.56709
Ananthapura,3sr,13.11478,77.56708
Ananthapura Gate,1a9,13.11478,77.57907
Ananthapura Gate,3mm,13.1146,77.57901
Anche Muskuru,4l8,12.9043,77.86795
Anche Muskuru,d6,12.90452,77.8678
Anchepalya,13p,13.05497,77.47936
Anchepalya,5ff,13.05529,77.47983
Anchepalya,5i5,12.89258,77.45798
Anchepalya,5qd,12.8926,77.45753
Anchipura,2yk,12.77008,77.43196
Anchipura,61d,12.77061,77.43203
Anchipura Colony,14p,12.76759,77.43854
Anchipura Colony,60i,12.76763,77.43855
Anchipura Cross,13y,12.79009,77.44125
Anchipura Cross,3pq,12.79006,77.44125
Andhrahalli,4pe,13.00802,77.48484
Andhrahalli,4y,13.00805,77.48484
Andhrahalli Gate,1li,13.1154,77.7453
Andhrahalli Gate,1p3,13.11543,77.74533
Andhrahalli Govt School,3g,13.00952,77.48294
Andhrahalli Govt School,41i,13.00956,77.48295
Ane Hosahalli Gate,hx,12.62062,77.51383
Anehalla,5kv,12.97983,77.24132
Anehalla,5qn,12.97985,77.2414
Anekal,2w5,12.70939,77.69641
Anekal Circle,4k7,12.71677,77.70018
Anekal Circle,4qk,12.71674,77.70009
Anekal Road Junction,2k6,12.76837,77.77016
Anekal Road Junction,5xo,12.76853,77.77016
Anepalya,2tb,12.95289,77.60532
Anepalya,4vf,12.95303,77.60518
Anjan Vidya Kendra School,4l2,12.92411,77.82445
Anjan Vidya Kendra School,5bd,12.92427,77.82438
Anjananagara,39n,12.98614,77.48847
Anjananagara,5b0,12.98617,77.48817
Anjanapura,38,12.862,77.56385
Anjanapura,5lu,12.86196,77.56381
Anjanapura,q1,12.86196,77.56393
Anjanapura 10 Block,4x0,12.85601,77.569
Anjanapura 10 Block,4zc,12.85567,77.57063
Anjanapura 10th  Block,1fn,12.85557,77.57059
Anjanapura 10th Block,2en,12.85593,77.56907
Anjanapura 1st Block,3a9,12.85998,77.54813
Anjanapura 1st Block,4i2,12.86001,77.54817
Anjanapura 2nd Block,24d,12.86573,77.55245
Anjanapura 2nd Block,51k,12.86563,77.55253
Anjanapura 3rd and 4th Block,ec,12.86048,77.55932
Anjanapura Cross,1n0,12.86183,77.56083
Anjanapura Cross,5rl,12.86183,77.56091
Anjaneya Temple Anekal,2a2,12.7173,77.70046
Anjaneya Temple Anekal,4vx,12.71729,77.70025
Anjaneya Temple Bidaraguppe,54n,12.80086,77.78283
Anjaneya Temple Bidaraguppe,621,12.80131,77.78276
Anjaneya Temple Devanahalli,12b,13.2351,77.71302
Anjaneya Temple Devanahalli,5h0,13.23506,77.713
Anjaneya Temple Madhure,1lm,13.20998,77.44486
Anjaneya Temple Madhure,41p,13.20992,77.44487
Anjaneya Temple Nelamangala,2i8,13.09737,77.39777
Anjaneya Temple Nelamangala,2lu,13.09723,77.39774
Anjaneya Temple Thigalarapalya,2oh,13.01371,77.48343
Anjaneya Temple Thigalarapalya,rv,13.01372,77.48347
Ankanahalli,1ko,13.20433,77.79846
Ankanahalli,ro,13.20433,77.79838
Ankegowdana Doddy,2b2,12.70677,77.51728
Ankegowdana Doddy,346,12.70677,77.51733
Annahalli,4or,12.69958,77.38452
Annapoorneshwari nagara Cross,4w7,12.96998,77.49655
Annapoorneshwarinagara,2d1,12.98002,77.50667
Annapoorneshwarinagara,47r,12.98077,77.50687
Annapoorneshwarinagara Cross,1qx,12.97002,77.49658
Annapoorneshwarinagara Water Tank,1ta,12.97203,77.49697
Annapoorneshwarinagara Water Tank,1x5,12.97196,77.49702
Annasandrapalya,4ty,12.96444,77.67236
Annasandrapalya,5nr,12.96444,77.67252
Annasandrapalya Cross,1lr,12.96039,77.66622
Annasandrapalya Cross,5ew,12.96044,77.66607
Anubhavanagara,634,12.96778,77.5238
Anugondanahalli,1f7,12.95716,77.81546
Anugondanahalli,1z7,12.95726,77.81527
Anugondanahalli Cross,43j,12.95895,77.81599
Anugondanahalli Cross,5vy,12.95894,77.81583
Anugraha Badavane (Bilekahalli),2ii,12.90302,77.60892
Aparel Park,1qm,13.27266,77.55205
Aparel Park,2qx,13.27257,77.55193
Apex Bank,2dy,12.94177,77.55602
Apex Bank,3ie,12.94183,77.55567
Apollo Hospital,66l,12.89662,77.6
Apollo Hospital,wt,12.89635,77.59972
Appasandra,36m,13.06315,77.89669
Appasandra,ns,13.06317,77.89659
Aradeshanahalli,1j4,13.22247,77.56361
Aradeshanahalli,5tx,13.22244,77.56364
Aradeshanahalli Gate,1i3,13.21648,77.55266
Aradeshanahalli Gate,5zh,13.21637,77.55258
Arahalli,1fb,13.22301,77.9487
Arakere,406,13.18477,77.5442
Arakere Byrapura,3e8,13.20064,77.53932
Arakere Byrapura,n7,13.20062,77.5393
Arakere Gate,17i,12.89053,77.59817
Arakere Gate,2pg,12.89057,77.59804
Aralalusandra,5cz,12.73314,77.45381
Aralalusandra,iu,12.73311,77.45385
Aralalusandra Cross,194,12.74337,77.46289
Aralalusandra Cross,47,12.74341,77.46301
Aralimara (PK Kalyana Mantapa ),3lj,12.87985,77.62456
Aralimara (PK Kalyana Mantapa ),631,12.88003,77.62459
Aralimara Hosahalli,26d,13.14043,77.64128
Aralimara Hosahalli,51r,13.14039,77.64126
Aralimara Industrial Area  Rajajinagara,2jr,12.97859,77.54909
Aralimara Industrial Area  Rajajinagara,49v,12.97855,77.54893
Aralimara Sunkadakatte,4b4,12.99209,77.50467
Aralimaradapalya,89,12.9297,77.36468
Aralimaradapalya Cross,3jg,12.92663,77.35998
Aralimaradapalya Cross,53z,12.92656,77.36
Aralumallige,227,13.27367,77.50939
Aralumallige,2lw,13.27372,77.50935
Aralumallige Cross,5cc,13.26693,77.51178
Arasanahalli,29v,13.20148,77.79737
Arasanahalli,313,13.20152,77.79732
Arasanahalli,n6,12.96478,77.88863
Arathipalya,1h7,13.03724,77.42601
Arathipalya,3f2,13.03724,77.42593
Aravinda Limited,1cj,12.81475,77.67016
Aravinda Limited,5i9,12.81485,77.67002
Arch Lingadeeranahalli,2cm,12.99962,77.48869
Arch Lingadeeranahalli,46o,12.99961,77.48872
Arch Railway Gollahalli,2w2,13.14818,77.41187
Arch Railway Gollahalli,4sw,13.1482,77.41192
Archakara Badavane,9x,12.91878,77.45255
Archakara Badavane,xh,12.91876,77.45237
Are Bannimangala,3fe,13.15398,77.7171
Are Bannimangala,5hl,13.15402,77.71708
Arebic College,4un,13.02992,77.62084
Arebic College,dj,13.03049,77.62121
Arehalli,2q2,12.93738,77.82992
Arehalli,30,12.76352,77.76729
Arehalli,3c5,12.93828,77.83035
Arehalli,7j,13.27065,77.56623
Arehalli,gv,12.90835,77.53792
Arehalli,ik,12.76327,77.76696
Arehalli,ug,12.90838,77.53774
Arehalli Cross,61u,12.94227,77.83669
Arehalli Cross,8v,12.94222,77.83665
Arenur,1nl,12.80975,77.7749
Arenur,65k,12.80984,77.77503
Arishinakunte,2ah,13.20062,77.77363
Arishinakunte,64d,13.08026,77.42417
Arishinakunte,72,13.07966,77.42419
Arishinakunte,rm,13.20066,77.77358
Arishinakunte  Toll,5ld,13.0799,77.42487
Arivesandra,1jy,13.18506,77.32518
Arivesandra,506,13.18504,77.32512
Army Public School Kamaraja Road,gs,12.97871,77.60941
Arogya Dhama,4xs,13.07838,77.35297
Art Of Living,2x7,12.82261,77.5141
Art Of Living (Kanakapura Road),h,12.82279,77.51415
Art Of Living Ravishankar Ashram,4st,12.82863,77.51255
Art Of Living Ravishankar Ashram,5r6,12.82883,77.51259
Ashoka Pillar,1q8,12.94322,77.58529
Ashoka Pillar,3vs,12.94367,77.58496
Ashoka Pillar,ga,12.94249,77.58515
Ashokanagara,29e,12.93703,77.5625
Ashrama Ramohalli,1u9,12.9063,77.42886
Ashrama Ramohalli,g6,12.90617,77.42892
Ashwath Nagara,24z,13.05289,77.63144
Ashwath Nagara,4pr,13.05274,77.63125
Ashwath Nagara Cross,2cx,13.05078,77.63054
Ashwath Nagara Cross,4jg,13.05075,77.63067
Ashwathkatte Kodihalli,2d0,13.0186,77.81054
Ashwathkatte Kodihalli,2sq,13.01858,77.81063
Ashwathkatte Manorayanapalya,2yi,13.02795,77.60448
Ashwathkatte Sultanpalya,2g9,13.02459,77.60346
Ashwathkatte Sultanpalya,3lt,13.0246,77.60341
Ashwathnagara,1kw,13.02679,77.57984
Ashwathnagara,3nv,13.02691,77.57973
Asian Paints Dabaspet,163,13.23008,77.27239
Attibele,1pl,12.77799,77.76984
Attibele,63y,12.77787,77.76968
Attibele Bus Stand,2mu,12.77958,77.77061
Attibele Bus Stand,2yb,12.77954,77.77046
Attibele Bus Stand,4s5,12.77896,77.77086
Attibele Bus Stand,ae,12.77865,77.77077
Attibele Sai Baba Temple,4vd,13.2829,77.72277
Attibele Sai Baba Temple,65t,13.2829,77.72301
Attibele Sulibele,1pc,13.16987,77.79388
Attibele Sulibele,4uw,13.1698,77.79387
Attiguppe,1ns,12.95809,77.53395
Attiguppe,25u,12.95783,77.53435
Attiguppe,5l9,12.95789,77.53385
Attiguppe,5w5,12.95787,77.53446
Attivatta,3vk,13.08812,77.85348
Attivatta Gate,18f,13.09743,77.85521
Attivatta Gate,1ro,13.09724,77.85527
Atturu,1ke,13.10653,77.56578
Atturu,1ve,13.10649,77.56577
Atturu,5v9,13.09877,77.85841
Atturu,pg,13.09855,77.85864
Atturu Layout,4mk,13.09778,77.56763
Atturu Layout,sc,13.09793,77.56753
Atturu Layout Vegetable Market,3jx,13.10079,77.56685
Atturu Layout Vegetable Market,61t,13.10082,77.56687
Austin Town,34m,12.96156,77.61344
Austin Town,4ta,12.96153,77.61456
Austin Town Neelasandra,57h,12.9616,77.61254
Auto Gas/Royal School,4qx,12.90133,77.58585
Avadadenahalli Gate,1yr,12.74649,77.7078
Avadadenahalli Gate,21a,12.74668,77.70779
Avalahalli,3il,12.87293,77.56665
Avalahalli,3o4,13.13538,77.56924
Avalahalli,5fu,13.13522,77.56915
Avalahalli,62r,12.87276,77.56657
Avalahalli BDA Layout,4yr,12.87222,77.56118
Avalahalli BDA Layout Cross,1de,12.87384,77.56151
Avalahalli BDA Layout Cross,2g6,12.87388,77.56149
Avalahalli BDA Park Girinagara,4rt,12.94332,77.54271
Avalahalli BDA Park Girinagara,5u2,12.94328,77.54311
Avalahalli Electronic City,1bw,12.86966,77.71175
Avalahalli Electronic City,b9,12.86957,77.71163
Avalahalli Hosakote,5ag,13.0355,77.73575
Avalahalli Hosakote,wc,13.03591,77.73531
Avalahalli Hosakote,y3,13.03605,77.7358
Avalahalli New BDA Layout,65e,12.94341,77.53685
Avalahalli New BDA Layout,6d,12.9434,77.53675
Avalakuppe Cross,3po,13.02376,77.34841
Avalakuppe Cross,47k,13.02384,77.34843
Avaragere,38w,12.82007,77.38086
Avaragere,3zo,12.82003,77.38079
Avaragere Cross,5fk,12.80957,77.37782
Avaragere Cross,5k0,12.80962,77.37784
Avarehalli,19t,12.89926,77.33696
Avarehalli,4bo,12.89934,77.33698
Avasarala Factory Kanakapura Road,19,12.78211,77.49263
Avasarala Factory Kanakapura Road,4bb,12.78204,77.49265
Avathi,176,13.29638,77.72579
Avathi,1g1,13.29642,77.72582
Avathi,2ib,13.29627,77.7256
Avathi,5fh,13.29633,77.72548
Averahalli,2lp,13.03508,77.41617
Averahalli,3i7,13.03503,77.41612
Averahalli Cross,1i5,13.03337,77.42186
Averahalli Cross,1jo,13.04391,77.4149
Averahalli Cross,633,13.04392,77.41493
Averahalli Cross,6h,13.03343,77.42184
Avinash Petrol Bunk,354,12.99045,77.58862
Ayurvedic Hospital Bodhanahosahalli,1iu,12.96969,77.8004
Ayurvedic Hospital Bodhanahosahalli,64e,12.96962,77.80022
Ayyappa Nagara  Sadaramangala,2oc,13.00426,77.70997
Ayyappa Nagara Muneshwara Temple Sadaramangala,14h,13.00451,77.7124
Ayyappa Nagara Muneshwara Temple Sadaramangala,5mg,13.00445,77.71243
Ayyappa Nagara Sadaramangala,4kh,13.00431,77.71002
Ayyappa School Kereguddadahalli,112,13.07468,77.517
Ayyappa Temple Jalahalli Cross,12s,13.0461,77.52231
Ayyappa Temple Jalahalli Cross,5x6,13.04623,77.52243
Ayyappa Temple Yashawanthapura,5ir,13.02159,77.56316
Ayyappa Temple Yashawanthapura,5p8,13.02167,77.56321
Ayyappaswamy Temple Madivala,64c,12.92478,77.61791
Aziz Palya,280,13.02721,77.36688
Aziz Palya,52p,13.02712,77.36696
B Channasandra,1la,13.0102,77.6576
B Channasandra,3ga,13.01,77.6576
B Channasandra,4rd,13.01006,77.6575
B Channasandra Bridge(Ramamurthy Nagara Ring Road),1hg,13.01329,77.66193
B Channasandra Bridge(Ramamurthy Nagara Ring Road),3vw,13.0112,77.66232
B Channasandra Bridge(Ramamurthy Nagara Ring Road),493,13.01354,77.66209
B Channasandra Bridge(Ramamurthy Nagara Ring Road),4xl,13.01128,77.66242
B Channasandra Bridge(Ramamurthy Nagara Ring Road),5ro,13.01229,77.66199
B Channasandra Bridge(Ramamurthy Nagara Ring Road),7y,13.01318,77.66272
B Channasandra Bridge(Ramamurthy Nagara Ring Road),eo,13.01311,77.66257
